SRR27190676,SRR27190684,SRR27190685,SRR27190700,SRR27190708,SRR27190710
26.9236,5.75505,1,0,1,36.727533978
0,0,0,0,0,0
101.61791000000001,193.22364018931998,213.34692,159.2606,263.40826,236.46230000000003
316.81989999999996,507.0549199999999,396.9711400141885,251.21651,476.21466,428.10453000000007
104.4045,127.29482,127.62576000000001,55.082930000000005,124.58930000000001,242.72167
22620.468310353375,42163.67514576199,32992.183950089995,37586.37920334577,43244.792273,24425.16547999635
13.397839999999999,25.00002,52.986630000000005,11.15508,37.16824999545,42.40818
398.99973384000003,529.03979,564.03272845441,578.8166430304648,698.9869040000001,433.33127807479997
202.446100245663,249.7532,281.715371,438.00406000000004,286.13699,203.42397999999997
496.99902837855,921.98197,868.0922832654901,458.9998421084809,852.884888485698,788.3434209384
68.3365,55.170230000000004,82.34188,41.5805,65.44278,119.22062
501.20267999999993,468.006340595,953.38127309,353.22192,818.9602899999998,814.8561200000001
529.99976429,370.00009550143,908.0805757779999,384.9996752,817.9992823772998,773.0003499999999
29.000042200000003,90,160,26,51.9999598,122
0,12.000041,0,0,0,1
43.8124,3.3314529999999998,8,2.96216,9.50475,13
210.23529,330.675736465,422.99983000000003,196.7777,413.99985000000004,348.9997460000001
76.9673,172.971532,107.58680000000001,105.0137,68.4488,97.56871000000001
405.3125599999999,328.47204,605.8540701374661,255.91343299999997,428.74738841249996,365.69448278835637
164.36753000000002,116.0440660319,261.72743,120.638391211234,215.92502444000002,189.52877
245.70941696299997,356.81519000000003,676.0004299999998,481.0707699999999,436.66426,480.17315999999994
2587.00451,3802.0038965329995,879.9997715000001,1057.9999599999999,1121.9999,2694.00068
2026.3467300000002,3825.497176,4726.4982899999995,4270.5026645167,2843.4953240777,3979.4502682999996
137.0451,36.0009,67.31357,11.284313000000001,26.181469999999997,15.0043
13,26,145.99997000000002,198.0003100241004,1001,418.000100252771
11,4,14,0,2,0
7.08002,10.0003,9.005141,4,9.18669,25
751.0003013930999,694.609650267416,1413.9997,861.00080200527,2004.9916,1117.9991616201387
17289.2132,30219.3921,26564.008399999995,21641.435360000003,33513.01870000001,23089.83644
901.7369326716,1442.96779,1111.087841261,970.0001319690001,1572.15361,1087.1702460000001
3129.9140900567654,1293.3664820000001,4331.6312,2020.3858046850398,7236.958300197365,2466.1411600000006
2421.922363380629,3327.8988000215963,4681.816305494351,2650.11223777,4339.055469999998,3123.0276904188017
3,6,18,22.00001,3,20.00004
0,0,0,0,144,0
53.91749,76.14265866,88.17081999999999,32.47597775,73.803998000000007,39.090388229999995
236.13605,37.00004,303.00046,68,253.0754,73.29802
226.0756644,201.92629929999998,350.26142600000003,90.1285083,309.5390538000001,219.82436895941
1149.051500375544,1155.87896,1432.9637299999997,1028.54935,1143.8825,1011.0795999999999
6721.518858999999,19567.910640000006,10225.320369999998,8322.198502000001,11154.810779999998,8666.98453274752
232.32889,113.65349,111.590252,103.43822,142.848728,137.37188
218.24200000000002,139.51391,258.7057,143.12016379999997,238.57471570159998,150.026906
3208.7277845500003,5902.6188600000005,5220.850324999999,3535.2550770523003,6307.6963404594335,4341.788580715484
12.55804,45.853,36.35053,4.79754,42.025800000000004,12.9964
1,1.000000394184,0,0,2.0000000517801,12.03340343
4014.0011600000003,6417.6325400000005,6678.5957100000005,6658.9502999999995,8810.5529,5353.893959999999
455.7676940088,352.83588999999995,997.93786,440.738,853.8452199999999,768.1875500000001
1506.484614262,1782.626800287741,1828.4125,1760.5288004947702,1805.379489128,2038.1435296387
3189.00357,3532.003990000001,6035.9945800000005,3441.00316,5176.00311,2631.99725
1698.7858,1968.9439242,3239.690418671,1870.7932100151002,2832.31566,2633.8554801375994
590,930.00021,856.836039,92.5876,407.00041000000004,1167.8896
749.0003,659.706161424793,1912.99905,624.8725400000001,902.991480765426,922.9629824100001
648.1333188314002,656.294598013211,1273.9062866298354,601.6102382793257,1121.241990581384,1067.8467190383874
1616.0003800000002,2033.1225299999999,3046.8644261905,1138.0000799999996,3158.00088,1345.1188577900002
311.00705000000005,667.3943,627.2785,407.1261329999999,1296.2502700129396,543.466878
